full_image_index,color,image_path
86,r,00086_r.jpg
87,b,00087_b.jpg
87,g,00087_g.jpg
87,r,00087_r.jpg
88,b,00088_b.jpg
88,g,00088_g.jpg
88,r,00088_r.jpg
89,b,00089_b.jpg
89,g,00089_g.jpg
89,r,00089_r.jpg
90,b,00090_b.jpg
90,g,00090_g.jpg
90,r,00090_r.jpg
91,b,00091_b.jpg
91,g,00091_g.jpg
91,r,00091_r.jpg
92,b,00092_b.jpg
92,g,00092_g.jpg
92,r,00092_r.jpg
93,b,00093_b.jpg
93,g,00093_g.jpg
93,r,00093_r.jpg
94,b,00094_b.jpg
94,g,00094_g.jpg
94,r,00094_r.jpg
95,b,00095_b.jpg
95,g,00095_g.jpg
95,r,00095_r.jpg
96,b,00096_b.jpg
96,g,00096_g.jpg
96,r,00096_r.jpg
97,b,00097_b.jpg
97,g,00097_g.jpg
97,r,00097_r.jpg
98,b,00098_b.jpg
98,g,00098_g.jpg
98,r,00098_r.jpg
99,b,00099_b.jpg
99,g,00099_g.jpg
99,r,00099_r.jpg
100,b,00100_b.jpg
100,g,00100_g.jpg
100,r,00100_r.jpg
